"stage","block_size_kib","scope_kib","fast_thread_count","ranker_version","ranker_crc32","ranker_sha256","retained_samples","input_bytes","encode_mb_per_s","decode_mb_per_s","encode_p50_ms","encode_p95_ms","decode_p50_ms","decode_p95_ms","block_latency_samples","block_queue_plus_service_p50_ms","block_queue_plus_service_p95_ms","block_service_p50_ms","block_service_p95_ms","peak_ram_mib","byte_exact"
"e6-fast","32","128","1","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","36","4718592","1.7278160398986817","2.4576040960068264","73.5219","91.7143","52.6488","68.9288","144","9.714","12.8923","5.3618","7.025","5.40234375","True"
"e6-fast","32","32","1","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","36","1179648","0.570539590673363","0.6111788328928079","56.2277","65.37469999999999","55.3345","65.8183","36","5.7405","8.0032","5.7322","7.785","5.27734375","True"
"e6-fast","32","64","1","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","36","2359296","1.054124678055355","1.2378573766361514","61.1272","70.87939999999999","52.1323","64.4964","72","8.7351","14.3364","5.5684","7.5504","5.33203125","True"
"e6-fast","64","128","1","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","36","4718592","1.737578379606909","2.3796971436121876","73.52839999999999","89.0504","54.303700000000006","68.2687","72","14.2315","24.4119","9.5955","14.2253","5.5546875","True"
"e6-fast","64","32","1","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","36","1179648","0.5635416838347366","0.621094525571484","57.996399999999994","67.55220000000001","50.6888","67.8271","36","5.8733","7.9687","5.8218","7.9217","5.2734375","True"
"e6-fast","64","64","1","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","36","2359296","1.0410216069380258","1.2762386549234264","61.9607","83.8101","48.7394","69.5528","36","9.8409","13.9763","9.8336","13.9686","5.48046875","True"
"e6-fast","128","128","1","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","36","4718592","1.750751953431537","2.436026070985195","71.6236","89.5569","54.1982","65.7732","36","17.9577","32.6699","17.9137","32.6304","5.88671875","True"
"e6-fast","128","32","1","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","36","1179648","0.5680666223153551","0.6184960869760123","56.694799999999994","69.3276","55.002900000000004","66.29469999999999","36","5.6069","7.7096","5.5116","7.578","5.265625","True"
"e6-fast","128","64","1","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","36","2359296","1.0805846956465504","1.2144187519379874","59.2758","68.7859","51.8632","71.99220000000001","36","9.6532","14.4109","9.6468","14.4015","5.48828125","True"
