"mode"	"variant"	"file"	"scope_kib"	"input_bytes"	"archive_bytes"	"ratio"	"bpb"	"encode_seconds"	"decode_seconds"	"peak_ram_mib"	"roundtrip"	"block_types"	"codec_sha256"	"package"
"predictive"	"r2-predictive"	"reymont"	"32"	"32768"	"7263"	"0.221649169921875"	"1.773193359375"	"18.5838834"	"18.5839925"	"129.51953125"	"PASS"	"predictive=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-predictive-silesia-32k-20260821-d11"
"predictive"	"r2-predictive"	"samba"	"32"	"32768"	"9272"	"0.282958984375"	"2.263671875"	"18.6525793"	"18.6614785"	"129.88671875"	"PASS"	"predictive=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-predictive-silesia-32k-20260821-d11"
"predictive"	"r2-predictive"	"sao"	"32"	"32768"	"23038"	"0.70306396484375"	"5.62451171875"	"18.9605401"	"18.7915073"	"129.86328125"	"PASS"	"predictive=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-predictive-silesia-32k-20260821-d11"
"predictive"	"r2-predictive"	"webster"	"32"	"32768"	"10867"	"0.331634521484375"	"2.653076171875"	"18.7271187"	"18.8902959"	"129.51953125"	"PASS"	"predictive=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-predictive-silesia-32k-20260821-d11"
"predictive"	"r2-predictive"	"x-ray"	"32"	"32768"	"18618"	"0.56817626953125"	"4.54541015625"	"18.9272172"	"19.1532036"	"129.88671875"	"PASS"	"predictive=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-predictive-silesia-32k-20260821-d11"
"predictive"	"r2-predictive"	"xml"	"32"	"32768"	"2351"	"0.071746826171875"	"0.573974609375"	"18.8691694"	"18.6277064"	"129.49609375"	"PASS"	"predictive=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-predictive-silesia-32k-20260821-d11"
"lstm-compress"	"r2-lstm-compress"	"dickens"	"32"	"32768"	"13353"	"0.407501220703125"	"3.260009765625"	"12.1278358"	"12.1835989"	"23.41796875"	"PASS"	"lstm-compress=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lstm-compress-silesia-32k-20260821-d10"
"lstm-compress"	"r2-lstm-compress"	"mozilla"	"32"	"32768"	"9701"	"0.296051025390625"	"2.368408203125"	"13.4018045"	"13.0762356"	"23.41015625"	"PASS"	"lstm-compress=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lstm-compress-silesia-32k-20260821-d10"
"lstm-compress"	"r2-lstm-compress"	"mr"	"32"	"32768"	"6266"	"0.19122314453125"	"1.52978515625"	"12.1339589"	"12.6039292"	"23.30859375"	"PASS"	"lstm-compress=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lstm-compress-silesia-32k-20260821-d10"
"lstm-compress"	"r2-lstm-compress"	"nci"	"32"	"32768"	"3743"	"0.114227294921875"	"0.913818359375"	"12.1430083"	"12.1126727"	"23"	"PASS"	"lstm-compress=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lstm-compress-silesia-32k-20260821-d10"
"lstm-compress"	"r2-lstm-compress"	"ooffice"	"32"	"32768"	"12092"	"0.3690185546875"	"2.9521484375"	"13.7025138"	"13.7716338"	"23.4140625"	"PASS"	"lstm-compress=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lstm-compress-silesia-32k-20260821-d10"
"lstm-compress"	"r2-lstm-compress"	"osdb"	"32"	"32768"	"20835"	"0.635833740234375"	"5.086669921875"	"13.8398724"	"13.7783943"	"23.4921875"	"PASS"	"lstm-compress=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lstm-compress-silesia-32k-20260821-d10"
"lstm-compress"	"r2-lstm-compress"	"reymont"	"32"	"32768"	"8881"	"0.271026611328125"	"2.168212890625"	"11.9945083"	"12.1530524"	"23.40234375"	"PASS"	"lstm-compress=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lstm-compress-silesia-32k-20260821-d10"
"lstm-compress"	"r2-lstm-compress"	"samba"	"32"	"32768"	"12334"	"0.37640380859375"	"3.01123046875"	"12.2249644"	"12.294417"	"23.453125"	"PASS"	"lstm-compress=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lstm-compress-silesia-32k-20260821-d10"
"lstm-compress"	"r2-lstm-compress"	"sao"	"32"	"32768"	"21710"	"0.66253662109375"	"5.30029296875"	"17.1164574"	"17.1160182"	"23.0859375"	"PASS"	"lstm-compress=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lstm-compress-silesia-32k-20260821-d10"
"lstm-compress"	"r2-lstm-compress"	"webster"	"32"	"32768"	"13379"	"0.408294677734375"	"3.266357421875"	"11.9383766"	"11.9839531"	"23.421875"	"PASS"	"lstm-compress=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lstm-compress-silesia-32k-20260821-d10"
"lstm-compress"	"r2-lstm-compress"	"x-ray"	"32"	"32768"	"16668"	"0.5086669921875"	"4.0693359375"	"15.4405625"	"15.9943683"	"23.46875"	"PASS"	"lstm-compress=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lstm-compress-silesia-32k-20260821-d10"
"lstm-compress"	"r2-lstm-compress"	"xml"	"32"	"32768"	"4841"	"0.147735595703125"	"1.181884765625"	"11.6387576"	"11.6688225"	"23.01171875"	"PASS"	"lstm-compress=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-lstm-compress-silesia-32k-20260821-d10"
"stored"	"r2-stored"	"dickens"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0503218"	"0.047799"	"2.35546875"	"PASS"	"stored=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-stored-silesia-32k-20260821-d13"
"stored"	"r2-stored"	"mozilla"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0476398"	"0.0368399"	"3.96875"	"PASS"	"stored=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-stored-silesia-32k-20260821-d13"
"stored"	"r2-stored"	"mr"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0444958"	"0.0383264"	"2.01171875"	"PASS"	"stored=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-stored-silesia-32k-20260821-d13"
"stored"	"r2-stored"	"nci"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0619589"	"0.0380969"	"3.53515625"	"PASS"	"stored=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-stored-silesia-32k-20260821-d13"
"stored"	"r2-stored"	"ooffice"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0515827"	"0.0383908"	"2.00390625"	"PASS"	"stored=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-stored-silesia-32k-20260821-d13"
"stored"	"r2-stored"	"osdb"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0445713"	"0.0373769"	"3.35546875"	"PASS"	"stored=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-stored-silesia-32k-20260821-d13"
"stored"	"r2-stored"	"reymont"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0449177"	"0.0382105"	"3.54296875"	"PASS"	"stored=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-stored-silesia-32k-20260821-d13"
"stored"	"r2-stored"	"samba"	"32"	"32768"	"32828"	"1.0018310546875"	"8.0146484375"	"0.0353567"	"0.0375568"	"2.00390625"	"PASS"	"stored=1"	"DDD852EF0744740735E6D32EE0FFCB197C3C8349C0D695AD192C7CB96BF298BA"	"hybridzip-r2-stored-silesia-32k-20260821-d13"
