"mode"	"mode_name"	"status"	"input_bytes"	"archive_bytes"	"bpb"	"codec_sha256"	"evidence_path"
"23"	"LstmCompress"	"PASS"	"1024"	"1098"	"8.578125"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-lstm-compress-1k-20260826\verification.json"
"24"	"DeltaOfDeltaZstd"	"PASS"	"1024"	"1099"	"8.5859375"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-delta-of-delta-zstd-1k-20260826\verification.json"
"25"	"BgptSharedPrior"	"PASS"	"1024"	"1759"	"13.7421875"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-bgpt-shared-prior-1k-20260826\verification.json"
"26"	"JaxCompressPortable"	"PASS"	"1024"	"1141"	"8.9140625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-jax-compress-portable-1k-20260826\verification.json"
"27"	"Ppmd7"	"PASS"	"1024"	"1193"	"9.3203125"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-ppmd7-1k-20260826\verification.json"
"28"	"Ppmd8"	"PASS"	"1024"	"1194"	"9.328125"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-ppmd8-1k-20260826\verification.json"
"29"	"Zpaq"	"PASS"	"1024"	"1365"	"10.6640625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-zpaq-1k-20260826\verification.json"
"30"	"Ctw"	"PASS"	"1024"	"1135"	"8.867188"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-ctw-1k-20260826\verification.json"
"31"	"Paq8pxApmPredictive"	"PASS"	"1024"	"1106"	"8.640625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-fastpfor-1k-20260826\verification.json"
"32"	"Paq8pxRecordModel"	"PASS"	"1024"	"1084"	"8.46875"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-paq8px-record-model-1k-20260826\verification.json"
