"mode"	"mode_name"	"input_bytes"	"archive_bytes"	"bpb"	"codec_sha256"	"input_sha256"	"decoded_sha256"	"evidence_path"	"evidence_mtime"
"13"	"FastPfor"	"1024"	"1106"	"8.640625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-fastpfor-mode13-1k-20260826\verification.json"	"2026-08-26T13:05:51.5081904Z"
"14"	"Rans"	"1024"	"1828"	"14.28125"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-rans-1k-20260826\verification.json"	"2026-08-26T13:03:12.2175540Z"
"15"	"Bcj2Zstd"	"1024"	"1119"	"8.7421875"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-bcj2-zstd-1k-20260826\verification.json"	"2026-08-26T13:01:04.3302254Z"
"16"	"RecordTransposeZstd"	"1024"	"1099"	"8.5859375"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-record-transpose-zstd-1k-20260826\verification.json"	"2026-08-26T12:58:29.1617218Z"
"17"	"JpegLs"	"1024"	"1333"	"10.4140625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-jpegls-1k-20260826\verification.json"	"2026-08-26T12:56:36.0946399Z"
"18"	"FlacResidual"	"1024"	"1182"	"9.234375"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-flac-residual-1k-20260826\verification.json"	"2026-08-26T12:55:11.9130167Z"
"19"	"BrotliText"	"1024"	"1088"	"8.5"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-brotli-text-1k-20260826\verification.json"	"2026-08-26T12:53:10.4167525Z"
"20"	"CmixWordDictionaryZstd"	"1024"	"1403"	"10.9609375"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-cmix-word-zstd-1k-20260826\verification.json"	"2026-08-26T12:51:34.2635403Z"
"21"	"NeuralLstm"	"1024"	"1094"	"8.546875"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-neural-lstm-1k-20260826\verification.json"	"2026-08-26T12:49:53.3189737Z"
"22"	"SharedNeuralLstm"	"1024"	"1099"	"8.5859375"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-shared-neural-lstm-1k-20260826\verification.json"	"2026-08-26T12:48:44.9718521Z"
