"stage","block_size_kib","scope_kib","retained_samples","input_bytes","encode_mb_per_s","decode_mb_per_s","encode_p50_ms","encode_p95_ms","decode_p50_ms","decode_p95_ms","peak_ram_mib","byte_exact"
"e6-fast","32","128","36","4718592","2.6468555481155973","2.5613384772250782","47.7959","59.646699999999996","48.736200000000004","66.6853","5.015625","True"
"e6-fast","32","32","36","1179648","0.6977095345675396","0.6735738869524522","43.2408","59.9497","48.356700000000004","64.80130000000001","5.01171875","True"
"e6-fast","32","64","36","2359296","1.3724313768605338","1.3048581422721992","44.1731","59.816599999999994","48.5617","62.5619","5.0234375","True"
"e6-fast","64","128","36","4718592","2.8510981755623517","2.6658386541723567","42.9069","58.852000000000004","48.9704","64.5959","5.16796875","True"
"e6-fast","64","32","36","1179648","0.7239404026628827","0.659694633538772","42.880799999999994","57.7789","48.76","65.3511","5.00390625","True"
"e6-fast","64","64","36","2359296","1.4163823601293783","1.3169538743282367","44.100500000000004","58.8435","48.5598","65.72359999999999","5.1640625","True"
"e6-fast","128","128","36","4718592","2.9129155546287415","2.6569262015620856","42.8806","60.6492","48.463100000000004","64.9815","5.421875","True"
"e6-fast","128","32","36","1179648","0.70594706881112","0.6476133569596088","44.388","58.8037","48.1659","64.2809","5.015625","True"
"e6-fast","128","64","36","2359296","1.4140068363657547","1.3049634437597302","43.3909","60.428999999999995","48.9038","65.7276","5.14453125","True"
