"codec"	"version"	"executable_path"	"executable_sha256"	"parameters"
"HybridZip"	"1.0.0-profile-v1"	"E:\MIXER\hybridzip\build\Release\hybridzip.exe"	"2D28B07863E576FE63DF8A5BC5C50C0FDA1DB1A0DD0364BE964981D97E942BD6"	"profile-v1"
"gzip"	"1.14"	"C:\Program Files\Git\usr\bin\gzip.exe"	"B30DF4D89223E1477DF01F48E70739E9A13FAE0E8F753C7B2A99A990DE3514DC"	"-9"
"zstd"	"1.5.7"	"D:\anaconda\Library\bin\zstd.exe"	"7B89780F5CF0C8352DFFE61ED19AA7E0A545F57D477062C96A6E95C28BC90EE3"	"-19 -T1"
"brotli"	"1.2.0"	"C:\msys64\usr\bin\brotli.exe"	"F00E33EE94F9A660AB5382717CFCB4B071258BF1ED3F7BD99B098B1A11106F00"	"-q 11"
"xz"	"5.6.4"	"D:\anaconda\Library\bin\xz.exe"	"59A050CC80CDB9E7C03EEBAA0D7D83B731D83487C9948D42EE12CAAF13389163"	"-9e -T1"
"7-Zip"	"26.00"	"C:\Program Files\7-Zip\7z.exe"	"4A41AA37786C7EAE7451E81C2C97458D5D1AE5A3A8154637A0D5F77ADC05E619"	"-t7z -mx=9 -mmt=1"
"PAQ8PX"	"v216"	"F:\paq8px\experiment\build\paq8px.exe"	"F79343702F596A4FA6C7CC3E25F2FA9C05199EAF11F06655B065F687E5F42533"	"-1"
