"id"	"family"	"input_bytes"	"auto_archive_bytes"	"predictive_archive_bytes"	"cmix_word_zstd_archive_bytes"	"auto_selected_mode"	"auto_candidates"	"best_archive_bytes"	"winner_modes"	"auto_gap_to_best"	"auto_encode_seconds"	"auto_decode_seconds"	"auto_peak_ram_mib"
"brotli-dictionary"	"text-context"	"32768"	"6024"	"6024"	"7534"	"predictive"	"18"	"6024"	"auto,predictive"	"0"	"84.1373051"	"18.4131595"	"129.828125"
"charls-jpegls"	"image"	"32768"	"3415"	"3415"	"3576"	"predictive"	"15"	"3415"	"auto,predictive"	"0"	"84.4691551"	"18.4382552"	"130.09375"
"cmix-dictionary"	"text-context"	"32768"	"8634"	"13035"	"8634"	"cmix-word-zstd"	"14"	"8634"	"auto,cmix-word-zstd"	"0"	"84.0444658"	"0.0526712"	"129.95703125"
"fastpfor-bitpacking"	"numeric"	"32768"	"1746"	"1746"	"1926"	"predictive"	"19"	"1746"	"auto,predictive"	"0"	"84.0299648"	"18.4459841"	"130.23828125"
"flac-stream-encoder"	"audio"	"32768"	"5602"	"5602"	"5782"	"predictive"	"15"	"5602"	"auto,predictive"	"0"	"84.3624218"	"18.3516101"	"130.0546875"
"libsais"	"bwt"	"32768"	"3850"	"3850"	"4011"	"predictive"	"20"	"3850"	"auto,predictive"	"0"	"84.5393113"	"18.3839773"	"130.390625"
"lstm-dictionary"	"neural"	"32768"	"3570"	"11361"	"3570"	"cmix-word-zstd"	"14"	"3570"	"auto,cmix-word-zstd"	"0"	"83.41429"	"0.0765281"	"130.30078125"
"zstd-compress"	"lz"	"32768"	"5645"	"5645"	"6204"	"predictive"	"20"	"5645"	"auto,predictive"	"0"	"84.7094378"	"18.4104673"	"130.67578125"
