"file"	"input_bytes"	"oracle_bpb"	"best_fixed_bpb"	"v1_bpb"	"multi_hedge_bpb"	"oracle_gap_bits"	"average_disagreement_bits"	"match_active_fraction"	"match_candidates_per_byte"	"average_ppmd_context_depth"
"dickens"	"32768"	"2.148475852465994"	"2.683434913612003"	"2.6835137003157716"	"2.6709309274938007"	"17529.53851563242"	"0.7223809339425306"	"0.181549072265625"	"0.192413330078125"	"5.15216064453125"
"mozilla"	"32768"	"1.6905918403164322"	"2.30141136875942"	"2.3014980659958297"	"2.1916401252089712"	"20015.334308019832"	"0.5469959012096148"	"0.390472412109375"	"0.395843505859375"	"6.373504638671875"
"mr"	"32768"	"1.2090667299353075"	"1.573873467589126"	"1.5739647283594522"	"1.4911164555707765"	"11953.987179440323"	"0.41758048599777653"	"0.565032958984375"	"0.568328857421875"	"8.249053955078125"
"nci"	"32768"	"0.39107821284098904"	"0.6000944890832856"	"0.6001649461917302"	"0.5904950282088174"	"6849.045339907572"	"0.30912702103421824"	"0.8856201171875"	"0.886444091796875"	"10.9322509765625"
"ooffice"	"32768"	"2.2645188729501413"	"3.0253457009782636"	"3.0254276444914447"	"2.8717963625178418"	"24930.77350082551"	"0.5709974545784413"	"0.286529541015625"	"0.293914794921875"	"5.33868408203125"
"osdb"	"32768"	"2.787256863504545"	"3.385911722381044"	"3.3859903797134017"	"3.3812826699059753"	"19616.72241566512"	"0.5912078495221693"	"0.315338134765625"	"0.32470703125"	"5.5013427734375"
"reymont"	"32768"	"1.2720274984811915"	"1.758496177812013"	"1.7585817313893755"	"1.7209735584516765"	"15940.605684312359"	"0.6655456686272412"	"0.410858154296875"	"0.41680908203125"	"7.006744384765625"
"samba"	"32768"	"1.7799345960455506"	"2.2488748276577533"	"2.2489542080504474"	"2.2444108927499493"	"15366.233509468657"	"0.6702104522557821"	"0.334625244140625"	"0.34222412109375"	"6.295074462890625"
"sao"	"32768"	"4.6216100864566805"	"5.609930583057037"	"5.6097919295601795"	"5.359972441463947"	"32385.286032600474"	"0.4498475996160195"	"0.02386474609375"	"0.038818359375"	"2.456390380859375"
"webster"	"32768"	"2.0808194356968297"	"2.6383046554483225"	"2.6383953077842137"	"2.621124417489356"	"18267.675680816916"	"0.6846193804364252"	"0.242340087890625"	"0.251251220703125"	"5.46405029296875"
"x-ray"	"32768"	"3.868433466104055"	"4.530670125056996"	"4.530638600638017"	"4.419510393872838"	"21700.17084056996"	"0.5420364307937675"	"0.002899169921875"	"0.018707275390625"	"2.410430908203125"
"xml"	"32768"	"0.4341118155320901"	"0.5592041655535338"	"0.5592909889632807"	"0.5562835201354577"	"4099.026125502667"	"0.3657703421969244"	"0.853485107421875"	"0.8536376953125"	"10.603851318359375"
