"variant"	"package"	"rows"	"pass"	"input_bytes"	"archive_bytes"	"ratio"	"bpb"	"encode_seconds"	"decode_seconds"	"peak_ram_mib"	"codec_sha256"	"block_types"
"auto"	"hybridzip-r2-auto-silesia-32k-20260821-d3"	"12"	"12"	"393216"	"122796"	"0.312286376953125"	"2.498291015625"	"882.9366495999999"	"109.06862459999999"	"130.36328125"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"	"brotli-text=1:1;cmix-word-zstd=1:2;flac-residual=1:1;lstm-compress=1:1;lzma=1:1;predictive=1:5;x86-bcj-zstd=1:1"
"predictive"	"hybridzip-r2-predictive-silesia-32k-20260821-d3"	"12"	"12"	"393216"	"127356"	"0.323883056640625"	"2.591064453125"	"242.17732400000003"	"248.7989223"	"129.8828125"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"	"predictive=1:12"
"donor-match"	"hybridzip-r2-donor-match-silesia-32k-20260821-d4"	"12"	"12"	"393216"	"147229"	"0.37442270914713544"	"2.9953816731770835"	"227.5263337"	"226.7130282"	"129.90234375"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"	"donor-match=1:12"
"neural-lstm"	"hybridzip-r2-neural-lstm-silesia-32k-20260821-d5"	"12"	"12"	"393216"	"162028"	"0.4120585123697917"	"3.2964680989583335"	"215.80192580000002"	"214.14901989999998"	"120.8125"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"	"neural-lstm=1:12"
"shared-neural-lstm"	"hybridzip-r2-shared-neural-lstm-silesia-32k-20260821-d5"	"12"	"12"	"393216"	"161041"	"0.40954844156901044"	"3.2763875325520835"	"214.4845519"	"216.2333056"	"120.80859375"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"	"shared-neural-lstm=1:12"
"lstm-compress"	"hybridzip-r2-lstm-compress-silesia-32k-20260821-d5"	"12"	"12"	"393216"	"143803"	"0.36570994059244794"	"2.9256795247395835"	"151.7773951"	"150.81446110000005"	"23.46484375"	"8D0798541BC867734D16AC65ECC6DD25B3E94B69B5531FBFA28B806324A84688"	"lstm-compress=1:12"
