"stage","block_size_kib","file","scope_kib","input_sha256","ranker_version","ranker_crc32","ranker_sha256","policy","reference_kind","full_auto_archive_bytes","shortlist_archive_bytes","regret_vs_full_auto_bytes","full_auto_selected_modes","shortlist_candidate_modes","full_auto_selected_mode_covered","tie_aware_winner_recall_available","candidates_evaluated","encode_seconds","decode_seconds","peak_ram_mib","roundtrip"
"e5-router","32","mozilla","32","9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","6256","6256","0","paq8px-detected-sse=1","0:1,2:1,3:1,4:1,10:1,12:1,36:1,37:1","True","False","8","23.8394542","11.803116","734.06640625","PASS"
"e5-router","32","mozilla","64","B0050240663F54371D372303EEABA0A59AB0758BCD565F4F639D06561E6BC996","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","10357","10386","29","paq8px-generic-sse=1;paq8px-detected-sse=1","0:2,36:2","False","False","4","22.4782904","22.0516133","550.49609375","PASS"
"e5-router","32","mozilla","64","B0050240663F54371D372303EEABA0A59AB0758BCD565F4F639D06561E6BC996","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","10357","10357","0","paq8px-generic-sse=1;paq8px-detected-sse=1","0:2,2:2,36:2,37:2","True","False","8","44.6301744","21.9288648","734.078125","PASS"
"e5-router","32","mozilla","64","B0050240663F54371D372303EEABA0A59AB0758BCD565F4F639D06561E6BC996","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","10357","10357","0","paq8px-generic-sse=1;paq8px-detected-sse=1","0:2,2:2,3:2,4:2,10:2,12:2,36:2,37:2","True","False","16","42.630145","20.9780979","734.078125","PASS"
"e5-router","32","mr","128","473A6A883480C7B2E69402AD888AC07B347C2DF61C6AA0D84E8B8130A27792EA","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","22033","22033","0","paq8px-generic-sse=4","0:4,36:4","True","False","8","38.2472225","38.565075","545.81640625","PASS"
"e5-router","32","mr","128","473A6A883480C7B2E69402AD888AC07B347C2DF61C6AA0D84E8B8130A27792EA","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","22033","22033","0","paq8px-generic-sse=4","0:4,2:4,36:4,37:4","True","False","16","77.1007551","38.4005444","545.875","PASS"
"e5-router","32","mr","128","473A6A883480C7B2E69402AD888AC07B347C2DF61C6AA0D84E8B8130A27792EA","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","22033","22033","0","paq8px-generic-sse=4","0:4,2:4,3:4,4:4,10:4,12:4,36:4,37:4","True","False","32","112.5548451","62.7509583","545.91015625","PASS"
"e5-router","32","mr","32","3BB287B0AF65F777AB00C14E362B4D1962087260556001BBEE0689AA10D9F76A","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","5167","5167","0","paq8px-generic-sse=1","0:1,36:1","True","False","2","10.0885914","10.0460974","545.85546875","PASS"
"e5-router","32","mr","32","3BB287B0AF65F777AB00C14E362B4D1962087260556001BBEE0689AA10D9F76A","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","5167","5167","0","paq8px-generic-sse=1","0:1,2:1,36:1,37:1","True","False","4","20.2989519","10.5114132","545.8828125","PASS"
"e5-router","32","mr","32","3BB287B0AF65F777AB00C14E362B4D1962087260556001BBEE0689AA10D9F76A","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","5167","5167","0","paq8px-generic-sse=1","0:1,2:1,3:1,4:1,10:1,12:1,36:1,37:1","True","False","8","19.468473","9.8210855","545.92578125","PASS"
"e5-router","32","mr","64","CAB7B6408934009A4BBFEDB57BEB4943BF5478CF8B3688D01F004E0422EBC651","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","10817","10817","0","paq8px-generic-sse=2","0:2,36:2","True","False","4","19.3821869","19.5750837","545.875","PASS"
"e5-router","32","mr","64","CAB7B6408934009A4BBFEDB57BEB4943BF5478CF8B3688D01F004E0422EBC651","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","10817","10817","0","paq8px-generic-sse=2","0:2,2:2,36:2,37:2","True","False","8","38.7050136","19.4984628","545.8984375","PASS"
"e5-router","32","mr","64","CAB7B6408934009A4BBFEDB57BEB4943BF5478CF8B3688D01F004E0422EBC651","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","10817","10817","0","paq8px-generic-sse=2","0:2,2:2,3:2,4:2,10:2,12:2,36:2,37:2","True","False","16","37.7592452","18.7386549","545.93359375","PASS"
"e5-router","32","nci","128","C8A1D610355E5EF900ED4C704DF14ADF1935D95DFD8F1740AC9FD90FC9BF5781","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","5602","5758","156","paq8px-detected-sse=4","0:4,36:4","False","False","8","34.7737661","34.8786139","542.12109375","PASS"
"e5-router","32","nci","128","C8A1D610355E5EF900ED4C704DF14ADF1935D95DFD8F1740AC9FD90FC9BF5781","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","5602","5602","0","paq8px-detected-sse=4","0:4,2:4,36:4,37:4","True","False","16","52.4764776","18.4076913","542.33984375","PASS"
"e5-router","32","nci","128","C8A1D610355E5EF900ED4C704DF14ADF1935D95DFD8F1740AC9FD90FC9BF5781","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","5602","5602","0","paq8px-detected-sse=4","0:4,2:4,4:4,6:4,19:4,28:4,36:4,37:4","True","False","32","79.6041654","24.1001411","543.015625","PASS"
"e5-router","32","nci","32","0D3034FE8B0E573DE1439ED98CE409B83B13E5895085C9BFB0BF980F4962FB79","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","1341","1369","28","paq8px-detected-sse=1","0:1,36:1","False","False","2","8.5803827","8.5938074","540.8984375","PASS"
"e5-router","32","nci","32","0D3034FE8B0E573DE1439ED98CE409B83B13E5895085C9BFB0BF980F4962FB79","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","1341","1341","0","paq8px-detected-sse=1","0:1,2:1,36:1,37:1","True","False","4","12.9505495","4.5827399","540.89453125","PASS"
"e5-router","32","nci","32","0D3034FE8B0E573DE1439ED98CE409B83B13E5895085C9BFB0BF980F4962FB79","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k8","full-auto-reference","1341","1341","0","paq8px-detected-sse=1","0:1,2:1,4:1,6:1,19:1,28:1,36:1,37:1","True","False","8","16.3133038","4.5117375","540.87890625","PASS"
"e5-router","32","nci","64","B01B411AC3B5CE2FBF37242C0C59D2D236D2F7039937C1B1A0F18F4CC02549FE","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k2","full-auto-reference","2503","2579","76","paq8px-detected-sse=2","0:2,36:2","False","False","4","17.3206494","17.2598102","540.88671875","PASS"
"e5-router","32","nci","64","B01B411AC3B5CE2FBF37242C0C59D2D236D2F7039937C1B1A0F18F4CC02549FE","00010000","1025B343","4B1AC26C40AD4DA50312FD3B694D7E636FB768C2336FE773BC82D36424C27A4B","auto-k4","full-auto-reference","2503","2503","0","paq8px-detected-sse=2","0:2,2:2,36:2,37:2","True","False","8","25.9378077","9.0621611","540.9140625","PASS"
